date,energy_mwh
2025-03-09 12:34:56,150.5
2025-03-08 11:23:45,200.7
2025-03-07 10:12:34,175.3
2025-03-06 09:01:23,180.2
2025-03-05 08:34:12,160.1
2025-03-04 07:56:01,145.6
2025-03-03 06:45:56,190.4
2025-03-02 05:34:45,170.0
2025-03-01 04:23:34,155.8
2025-02-28 03:12:23,165.9
2025-02-27 02:01:12,210.0
2025-02-26 01:23:45,185.7
2025-02-25 00:12:34,150.3
2025-02-24 23:01:23,160.8
2025-02-23 22:34:12,195.2
2025-02-22 21:12:01,180.5
2025-02-21 20:45:56,170.9
2025-02-20 19:34:45,175.0
2025-02-19 18:12:34,190.1
